language_code,filename,n_entries,total_bytes,ratio_vs_english
myv_Cyrl,myv_Cyrl.json,997,248513,1.9835022747226434
uig_Arab,uig_Arab.json,997,248124,1.9803974778513849
ydd_Hebr,ydd_Hebr.json,997,243984,1.9473541383989146
khk_Cyrl,khk_Cyrl.json,997,241785,1.9298028573708994
chv_Cyrl,chv_Cyrl.json,997,241245,1.9254928565727512
mhr_Cyrl,mhr_Cyrl.json,997,241034,1.9238087636682897
uzs_Arab,uzs_Arab.json,997,239010,1.907654242158193
mkd_Cyrl,mkd_Cyrl.json,997,237676,1.8970069438901749
bul_Cyrl,bul_Cyrl.json,997,237296,1.893973980365552
kaz_Cyrl,kaz_Cyrl.json,997,236955,1.8912522946763508
kir_Cyrl,kir_Cyrl.json,997,235680,1.8810759039029452
ukr_Cyrl,ukr_Cyrl.json,997,235478,1.8794636443451194
bak_Cyrl,bak_Cyrl.json,997,233577,1.8642908452390454
tat_Cyrl,tat_Cyrl.json,997,233150,1.8608827520153244
ckb_Arab,ckb_Arab.json,997,232262,1.8537951951472584
srp_Cyrl,srp_Cyrl.json,997,226435,1.8072870939420544
urd_Arab,urd_Arab.json,997,221970,1.7716497725277356
tir_Ethi,tir_Ethi.json,997,220338,1.7586239923377764
amh_Ethi,amh_Ethi.json,997,218396,1.7431239524303617
min_Arab,min_Arab.json,997,218096,1.7407295075425013
kas_Arab,kas_Arab.json,997,216843,1.7307287093942054
pes_Arab,pes_Arab.json,997,214646,1.7131933913321096
pbt_Arab,pbt_Arab.json,997,213300,1.7024503152685768
bjn_Arab,bjn_Arab.json,997,211916,1.691403942852582
prs_Arab,prs_Arab.json,997,204963,1.635908691834943
azb_Arab,azb_Arab.json,997,204336,1.6309043020193152
knc_Arab,knc_Arab.json,997,201126,1.6052837417192114
snd_Arab,snd_Arab.json,997,200920,1.6036395562295473
ars_Arab,ars_Arab.json,997,200865,1.603200574666773
arb_Arab,arb_Arab.json,997,200576,1.6008939260914679
acq_Arab,acq_Arab.json,997,198303,1.5827520153244472
acm_Arab,acm_Arab.json,997,196519,1.568513049724639
arz_Arab,arz_Arab.json,997,196098,1.5651528453986752
ary_Arab,ary_Arab.json,997,195424,1.5597733258839492
aeb_Arab,aeb_Arab.json,997,193780,1.5466517678984755
ace_Arab,ace_Arab.json,997,189579,1.5131215579854738
apc_Arab_nort3139,apc_Arab_nort3139.json,997,186923,1.4919227392449517
apc_Arab_sout3123,apc_Arab_sout3123.json,997,186781,1.4907893686646978
vie_Latn,vie_Latn.json,997,174819,1.3953148695027535
heb_Hebr,heb_Hebr.json,997,174464,1.392481443052119
kbp_Latn,kbp_Latn.json,997,173445,1.384348311916354
nus_Latn,nus_Latn.json,997,165666,1.32226035597414
tum_Latn,tum_Latn.json,997,165550,1.321334503950834
kik_Latn,kik_Latn.json,997,163569,1.3055231862079975
gla_Latn,gla_Latn.json,997,161658,1.2902705722723282
yor_Latn,yor_Latn.json,997,161334,1.2876845717934393
tpi_Latn,tpi_Latn.json,997,160301,1.2794396998962407
jpn_Jpan,jpn_Jpan.json,997,160048,1.2774203847074785
azj_Latn,azj_Latn.json,997,158394,1.2642190118924097
plt_Latn,plt_Latn.json,997,158252,1.2630856413121558
kac_Latn,kac_Latn.json,997,158191,1.2625987708516242
fon_Latn,fon_Latn.json,997,158067,1.261609066964642
tsn_Latn,tsn_Latn.json,997,157993,1.2610184372256366
fil_Latn,fil_Latn.json,997,157727,1.2588953627584005
war_Latn,war_Latn.json,997,156419,1.2484555830473303
bem_Latn,bem_Latn.json,997,155724,1.242908452390454
gle_Latn,gle_Latn.json,997,154606,1.2339851544416953
fra_Latn,fra_Latn.json,997,154573,1.2337217655040307
smo_Latn,smo_Latn.json,997,153273,1.2233458376566366
spa_Latn,spa_Latn.json,997,152078,1.2138079655199936
ilo_Latn,ilo_Latn.json,997,152021,1.2133530209913002
als_Latn,als_Latn.json,997,151911,1.2124750578657515
sot_Latn,sot_Latn.json,997,151687,1.210687205682816
tso_Latn,tso_Latn.json,997,151171,1.2065687604756963
gaz_Latn,gaz_Latn.json,997,151153,1.2064250937824248
kor_Hang,kor_Hang.json,997,150918,1.2045494452869343
ceb_Latn,ceb_Latn.json,997,150264,1.1993295554313992
srd_Latn,srd_Latn.json,997,150234,1.199090110942613
ibo_Latn,ibo_Latn.json,997,149769,1.19537872136643
deu_Latn,deu_Latn.json,997,148936,1.1887301460611381
ron_Latn,ron_Latn.json,997,148896,1.1884108867427567
nso_Latn,nso_Latn.json,997,148215,1.1829754968473143
arg_Latn,arg_Latn.json,997,148208,1.1829196264665975
ita_Latn,ita_Latn.json,997,148188,1.1827599968074067
vmw_Latn,vmw_Latn.json,997,147904,1.1804932556468992
oci_Latn_aran1260,oci_Latn_aran1260.json,997,147862,1.1801580333625987
oci_Latn,oci_Latn.json,997,146870,1.1722404022667412
arb_Latn,arb_Latn.json,997,146403,1.1685130497246388
tuk_Latn,tuk_Latn.json,997,146397,1.1684651608268817
fij_Latn,fij_Latn.json,997,146344,1.1680421422300264
lij_Latn,lij_Latn.json,997,146052,1.1657115492058425
lmo_Latn,lmo_Latn.json,997,145484,1.1611780668848273
mlt_Latn,mlt_Latn.json,997,145371,1.1602761593103998
mri_Latn,mri_Latn.json,997,145173,1.1586958256844122
hun_Latn,hun_Latn.json,997,144968,1.1570596216777078
ltz_Latn,ltz_Latn.json,997,144824,1.1559102881315348
kin_Latn,kin_Latn.json,997,143205,1.1429882672200495
ktu_Latn,ktu_Latn.json,997,142987,1.141248303934871
som_Latn,som_Latn.json,997,142420,1.1367228030968153
fur_Latn,fur_Latn.json,997,142201,1.1349748583286774
glg_Latn,glg_Latn.json,997,142116,1.1342964322771172
uzn_Latn,uzn_Latn.json,997,141988,1.1332748024582968
crh_Latn,crh_Latn.json,997,141842,1.1321095059462047
pol_Latn,pol_Latn.json,997,141830,1.1320137281506903
nya_Latn,nya_Latn.json,997,141777,1.1315907095538351
zsm_Latn,zsm_Latn.json,997,141021,1.1255567084364275
cat_Latn,cat_Latn.json,997,140954,1.1250219490781388
ssw_Latn,ssw_Latn.json,997,140848,1.1241759118844281
ban_Latn,ban_Latn.json,997,140691,1.1229228190597813
sag_Latn,sag_Latn.json,997,140688,1.1228988746109028
sna_Latn,sna_Latn.json,997,140602,1.122212467076383
lvs_Latn,lvs_Latn.json,997,140378,1.1204246148934471
zul_Latn,zul_Latn.json,997,140368,1.1203448000638518
run_Latn,run_Latn.json,997,140346,1.1201692074387422
tur_Latn,tur_Latn.json,997,139979,1.117240003192593
por_Latn,por_Latn.json,997,139900,1.11660946603879
kmb_Latn,kmb_Latn.json,997,139665,1.1147338175432995
scn_Latn,scn_Latn.json,997,139648,1.1145981323329874
knc_Latn,knc_Latn.json,997,139286,1.1117088355016362
nld_Latn,nld_Latn.json,997,139278,1.1116449836379598
fin_Latn,fin_Latn.json,997,139165,1.1107430760635326
kmr_Latn,kmr_Latn.json,997,138907,1.1086838534599728
szl_Latn,szl_Latn.json,997,138312,1.1039348710990502
bug_Latn,bug_Latn.json,997,138285,1.1037193710591429
lld_Latn_gard1241,lld_Latn_gard1241.json,997,138244,1.1033921302578018
hau_Latn,hau_Latn.json,997,137707,1.099106073908532
slk_Latn,slk_Latn.json,997,137701,1.099058185010775
lld_Latn,lld_Latn.json,997,137633,1.0985154441695266
fao_Latn,fao_Latn.json,997,137496,1.0974219810040706
twi_Latn_asan1239,twi_Latn_asan1239.json,997,137325,1.0960571474179903
isl_Latn,isl_Latn.json,997,137283,1.0957219251336898
lus_Latn,lus_Latn.json,997,136932,1.0929204246148934
ace_Latn,ace_Latn.json,997,136827,1.0920823689041423
gug_Latn,gug_Latn.json,997,136756,1.0915156836140154
ind_Latn,ind_Latn.json,997,136386,1.088562534918988
cjk_Latn,cjk_Latn.json,997,136284,1.0877484236571155
ces_Latn,ces_Latn.json,997,135980,1.0853220528374172
lin_Latn,lin_Latn.json,997,135557,1.0819458855455344
pap_Latn,pap_Latn.json,997,135496,1.0814590150850028
lua_Latn,lua_Latn.json,997,134901,1.0767100327240802
quy_Latn,quy_Latn.json,997,134793,1.0758480325644504
ewe_Latn,ewe_Latn.json,997,134720,1.0752653843084046
lit_Latn,lit_Latn.json,997,134578,1.0741320137281507
dyu_Latn,dyu_Latn.json,997,134515,1.0736291803017
afr_Latn,afr_Latn.json,997,134424,1.0729028653523824
ayr_Latn,ayr_Latn.json,997,134408,1.0727751616250298
cym_Latn,cym_Latn.json,997,134117,1.0704525500838056
eus_Latn,eus_Latn.json,997,133948,1.0691036794636444
xho_Latn,xho_Latn.json,997,133902,1.068736531247506
lim_Latn,lim_Latn.json,997,133846,1.068289568201772
min_Latn,min_Latn.json,997,133317,1.0640673637161784
ast_Latn,ast_Latn.json,997,132761,1.0596296591906775
kab_Latn,kab_Latn.json,997,132753,1.0595658073270013
twi_Latn_akua1239,twi_Latn_akua1239.json,997,132468,1.0572910846835342
sun_Latn,sun_Latn.json,997,132313,1.0560539548248065
bjn_Latn,bjn_Latn.json,997,132177,1.05496847314231
vec_Latn,vec_Latn.json,997,132160,1.0548327879319979
luo_Latn,luo_Latn.json,997,131934,1.053028972783143
swh_Latn,swh_Latn.json,997,131845,1.0523186207997446
ltg_Latn,ltg_Latn.json,997,131761,1.0516481762311438
dan_Latn,dan_Latn.json,997,131700,1.0511613057706122
swe_Latn,swe_Latn.json,997,131624,1.0505547130656876
bam_Latn,bam_Latn.json,997,131109,1.0464442493415276
mos_Latn,mos_Latn.json,997,130902,1.044792082368904
nno_Latn,nno_Latn.json,997,130560,1.0420624151967435
jav_Latn,jav_Latn.json,997,130556,1.0420304892649055
umb_Latn,umb_Latn.json,997,130262,1.0396839332748025
bos_Latn,bos_Latn.json,997,130083,1.038255247825046
lug_Latn,lug_Latn.json,997,129453,1.0332269135605396
slv_Latn,slv_Latn.json,997,128278,1.0238486710830872
epo_Latn,epo_Latn.json,997,127618,1.018580892329795
kea_Latn,kea_Latn.json,997,127590,1.018357410806928
kam_Latn,kam_Latn.json,997,127523,1.0178226514486393
taq_Latn,taq_Latn.json,997,127393,1.0167850586638998
nob_Latn,nob_Latn.json,997,127253,1.015667651049565
hrv_Latn,hrv_Latn.json,997,127130,1.0146859286455423
nob_Latn_radical,nob_Latn_radical.json,997,127125,1.0146460212307447
ekk_Latn,ekk_Latn.json,997,126904,1.0128821134966877
pag_Latn,pag_Latn.json,997,126206,1.007311038390933
eng_Latn,eng_Latn.json,997,125290,1.0
wol_Latn,wol_Latn.json,997,124590,0.9944129619283263
dik_Latn,dik_Latn.json,997,121595,0.9705084204645223
fuv_Latn,fuv_Latn.json,997,120829,0.9643946045175193
hat_Latn,hat_Latn.json,997,118826,0.948407694149573
mfe_Latn,mfe_Latn.json,997,117892,0.9409529890653684
wuu_Hans,wuu_Hans.json,997,117446,0.9373932476654162
cmn_Hans,cmn_Hans.json,997,117254,0.9358608029371858
cmn_Hant,cmn_Hant.json,997,111458,0.8896001277037273
yue_Hant,yue_Hant.json,997,110765,0.8840689600127704
